127.0.0.1 - - [20/Oct/2023:08:18:05 +0800] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:08 +0800] "GET /portal/fundclient/ HTTP/1.1" 200 4898
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:08 +0800] "GET /portal/resources/crm/css/sh.css HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:08 +0800] "GET /portal/resources/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 59305
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:08 +0800] "GET /portal/resources/plugins/icheck-bootstrap/icheck-bootstrap.min.css HTTP/1.1" 200 12505
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:08 +0800] "GET /portal/resources/plugins/jquery/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:08 +0800] "GET /portal/resources/dist/img/AdminLTELogo.jpg HTTP/1.1" 200 668932
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:08 +0800] "GET /portal/resources/dist/css/adminlte.min.css HTTP/1.1" 200 1396747
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:08 +0800] "GET /portal/resources/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 83253
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:08 +0800] "GET /portal/resources/dist/js/adminlte.min.js HTTP/1.1" 200 46369
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:08 +0800] "GET /portal/resources/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78268
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:31 +0800] "GET /portal/fundclient/loginConfirm?login=236860&password=abc12345 HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:32 +0800] "GET /portal/fundclient/index HTTP/1.1" 200 28446
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:32 +0800] "GET /portal/resources/plugins/jqvmap/jqvmap.min.css HTTP/1.1" 200 613
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:32 +0800] "GET /portal/resources/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 20020
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:32 +0800] "GET /portal/resources/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 59305
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:32 +0800] "GET /portal/resources/plugins/icheck-bootstrap/icheck-bootstrap.min.css HTTP/1.1" 200 12505
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:32 +0800] "GET /portal/resources/dist/css/adminlte.min.css HTTP/1.1" 200 1396747
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:32 +0800] "GET /portal/resources/plugins/tempusdominus-bootstrap-4/css/tempusdominus-bootstrap-4.min.css HTTP/1.1" 200 11967
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:32 +0800] "GET /portal/resources/plugins/daterangepicker/daterangepicker.css HTTP/1.1" 200 8069
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:32 +0800] "GET /portal/resources/crm/css/sh.css HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:32 +0800] "GET /portal/resources/plugins/summernote/summernote-bs4.min.css HTTP/1.1" 200 19513
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:32 +0800] "GET /portal/resources/dist/img/AdminLTELogo.jpg HTTP/1.1" 200 668932
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:32 +0800] "GET /portal/resources/dist/img/user2-160x160.jpg HTTP/1.1" 200 6905
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:32 +0800] "GET /portal/resources/plugins/jquery/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:32 +0800] "GET /portal/resources/plugins/jquery-ui/jquery-ui.min.js HTTP/1.1" 200 254921
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:32 +0800] "GET /portal/resources/plugins/jquery-knob/jquery.knob.min.js HTTP/1.1" 200 10804
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:32 +0800] "GET /portal/resources/plugins/jqvmap/jquery.vmap.min.js HTTP/1.1" 200 21150
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:32 +0800] "GET /portal/resources/plugins/jqvmap/maps/jquery.vmap.usa.js HTTP/1.1" 200 47712
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:32 +0800] "GET /portal/resources/plugins/chart.js/Chart.min.js HTTP/1.1" 200 173077
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:32 +0800] "GET /portal/resources/plugins/sparklines/sparkline.js HTTP/1.1" 200 7219
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:32 +0800] "GET /portal/resources/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 83253
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:32 +0800] "GET /portal/resources/plugins/moment/moment.min.js HTTP/1.1" 200 58862
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:32 +0800] "GET /portal/resources/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42602
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:32 +0800] "GET /portal/resources/plugins/summernote/summernote-bs4.min.js HTTP/1.1" 200 153030
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:32 +0800] "GET /portal/resources/plugins/tempusdominus-bootstrap-4/js/tempusdominus-bootstrap-4.min.js HTTP/1.1" 200 61588
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:32 +0800] "GET /portal/resources/plugins/daterangepicker/daterangepicker.js HTTP/1.1" 200 67842
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:32 +0800] "GET /portal/resources/dist/img/user2-160x160.jpg HTTP/1.1" 200 6905
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:32 +0800] "GET /portal/resources/plugins/toastr/toastr.min.js HTTP/1.1" 200 5251
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:32 +0800] "GET /portal/resources/plugins/sweetalert2/sweetalert2.min.js HTTP/1.1" 200 42910
